department_id	department_name	shift_date	shift_type	doctors_assigned	doctors_required	doctors_surplus	nurses_assigned	nurses_required	nurses_surplus	admins_assigned	admins_required	admins_surplus	staff_type	staff_subclass	subclass_assigned_count
1	Καρδιολογία	2026-05-01	πρωινή	3	3	0	6	6	0	2	2	0	ADMIN	Λογιστήριο	1
1	Καρδιολογία	2026-05-01	πρωινή	3	3	0	6	6	0	2	2	0	ADMIN	Υποδοχή	1
1	Καρδιολογία	2026-05-01	πρωινή	3	3	0	6	6	0	2	2	0	DOCTOR	ΜΕΘ	1
1	Καρδιολογία	2026-05-01	πρωινή	3	3	0	6	6	0	2	2	0	DOCTOR	Παθολογία	1
1	Καρδιολογία	2026-05-01	πρωινή	3	3	0	6	6	0	2	2	0	DOCTOR	Χειρουργική	1
1	Καρδιολογία	2026-05-01	πρωινή	3	3	0	6	6	0	2	2	0	NURSE	Βοηθός Νοσηλευτή	2
1	Καρδιολογία	2026-05-01	πρωινή	3	3	0	6	6	0	2	2	0	NURSE	Νοσηλευτής	4
1	Καρδιολογία	2026-05-01	απογευματινή	3	3	0	6	6	0	2	2	0	ADMIN	Λογιστήριο	1
1	Καρδιολογία	2026-05-01	απογευματινή	3	3	0	6	6	0	2	2	0	ADMIN	Υποδοχή	1
1	Καρδιολογία	2026-05-01	απογευματινή	3	3	0	6	6	0	2	2	0	DOCTOR	Νευρολογική	1
1	Καρδιολογία	2026-05-01	απογευματινή	3	3	0	6	6	0	2	2	0	DOCTOR	Ουρολογική	1
1	Καρδιολογία	2026-05-01	απογευματινή	3	3	0	6	6	0	2	2	0	DOCTOR	Πνευμονολογική	1
1	Καρδιολογία	2026-05-01	απογευματινή	3	3	0	6	6	0	2	2	0	NURSE	Βοηθός Νοσηλευτή	2
1	Καρδιολογία	2026-05-01	απογευματινή	3	3	0	6	6	0	2	2	0	NURSE	Νοσηλευτής	4
1	Καρδιολογία	2026-05-01	νυχτερινή	3	3	0	6	6	0	2	2	0	ADMIN	Λογιστήριο	1
1	Καρδιολογία	2026-05-01	νυχτερινή	3	3	0	6	6	0	2	2	0	ADMIN	Υποδοχή	1
1	Καρδιολογία	2026-05-01	νυχτερινή	3	3	0	6	6	0	2	2	0	DOCTOR	ΜΕΘ	1
1	Καρδιολογία	2026-05-01	νυχτερινή	3	3	0	6	6	0	2	2	0	DOCTOR	Παθολογία	1
1	Καρδιολογία	2026-05-01	νυχτερινή	3	3	0	6	6	0	2	2	0	DOCTOR	Χειρουργική	1
1	Καρδιολογία	2026-05-01	νυχτερινή	3	3	0	6	6	0	2	2	0	NURSE	Βοηθός Νοσηλευτή	2
1	Καρδιολογία	2026-05-01	νυχτερινή	3	3	0	6	6	0	2	2	0	NURSE	Νοσηλευτής	4
1	Καρδιολογία	2026-05-02	πρωινή	3	3	0	6	6	0	2	2	0	ADMIN	Λογιστήριο	1
1	Καρδιολογία	2026-05-02	πρωινή	3	3	0	6	6	0	2	2	0	ADMIN	Υποδοχή	1
1	Καρδιολογία	2026-05-02	πρωινή	3	3	0	6	6	0	2	2	0	DOCTOR	Νευρολογική	1
1	Καρδιολογία	2026-05-02	πρωινή	3	3	0	6	6	0	2	2	0	DOCTOR	Ουρολογική	1
1	Καρδιολογία	2026-05-02	πρωινή	3	3	0	6	6	0	2	2	0	DOCTOR	Πνευμονολογική	1
1	Καρδιολογία	2026-05-02	πρωινή	3	3	0	6	6	0	2	2	0	NURSE	Βοηθός Νοσηλευτή	2
1	Καρδιολογία	2026-05-02	πρωινή	3	3	0	6	6	0	2	2	0	NURSE	Νοσηλευτής	4
1	Καρδιολογία	2026-05-02	απογευματινή	3	3	0	6	6	0	2	2	0	ADMIN	Λογιστήριο	1
1	Καρδιολογία	2026-05-02	απογευματινή	3	3	0	6	6	0	2	2	0	ADMIN	Υποδοχή	1
1	Καρδιολογία	2026-05-02	απογευματινή	3	3	0	6	6	0	2	2	0	DOCTOR	ΜΕΘ	1
1	Καρδιολογία	2026-05-02	απογευματινή	3	3	0	6	6	0	2	2	0	DOCTOR	Παθολογία	1
1	Καρδιολογία	2026-05-02	απογευματινή	3	3	0	6	6	0	2	2	0	DOCTOR	Χειρουργική	1
1	Καρδιολογία	2026-05-02	απογευματινή	3	3	0	6	6	0	2	2	0	NURSE	Βοηθός Νοσηλευτή	2
1	Καρδιολογία	2026-05-02	απογευματινή	3	3	0	6	6	0	2	2	0	NURSE	Νοσηλευτής	4
1	Καρδιολογία	2026-05-02	νυχτερινή	3	3	0	6	6	0	2	2	0	ADMIN	Λογιστήριο	1
1	Καρδιολογία	2026-05-02	νυχτερινή	3	3	0	6	6	0	2	2	0	ADMIN	Υποδοχή	1
1	Καρδιολογία	2026-05-02	νυχτερινή	3	3	0	6	6	0	2	2	0	DOCTOR	Νευρολογική	1
1	Καρδιολογία	2026-05-02	νυχτερινή	3	3	0	6	6	0	2	2	0	DOCTOR	Ουρολογική	1
1	Καρδιολογία	2026-05-02	νυχτερινή	3	3	0	6	6	0	2	2	0	DOCTOR	Πνευμονολογική	1
1	Καρδιολογία	2026-05-02	νυχτερινή	3	3	0	6	6	0	2	2	0	NURSE	Βοηθός Νοσηλευτή	2
1	Καρδιολογία	2026-05-02	νυχτερινή	3	3	0	6	6	0	2	2	0	NURSE	Νοσηλευτής	4
1	Καρδιολογία	2026-05-03	πρωινή	3	3	0	6	6	0	2	2	0	ADMIN	Λογιστήριο	1
1	Καρδιολογία	2026-05-03	πρωινή	3	3	0	6	6	0	2	2	0	ADMIN	Υποδοχή	1
1	Καρδιολογία	2026-05-03	πρωινή	3	3	0	6	6	0	2	2	0	DOCTOR	ΜΕΘ	1
1	Καρδιολογία	2026-05-03	πρωινή	3	3	0	6	6	0	2	2	0	DOCTOR	Παθολογία	1
1	Καρδιολογία	2026-05-03	πρωινή	3	3	0	6	6	0	2	2	0	DOCTOR	Χειρουργική	1
1	Καρδιολογία	2026-05-03	πρωινή	3	3	0	6	6	0	2	2	0	NURSE	Βοηθός Νοσηλευτή	2
1	Καρδιολογία	2026-05-03	πρωινή	3	3	0	6	6	0	2	2	0	NURSE	Νοσηλευτής	4
1	Καρδιολογία	2026-05-03	απογευματινή	3	3	0	6	6	0	2	2	0	ADMIN	Λογιστήριο	1
